type,text
本文,長え長え昔噺、知らへがな。
本文,山の中に橡の木いっぽんあったずおん。
本文,そのてっぺんさ、からす一羽来てとまったずおん。
本文,からすあ、があて啼けば、橡の実あ、一つぼたんて落づるずおん。
本文,また、からすあ、があて啼けば、橡の実あ、一つぼたんて落づるずおん。
本文,また、からすあ、があて啼けば、橡の実あ、一つぼたんて落づるずおん。
本文,…………………………
本文,ひとかたまりの童児、広い野はらに火三昧して遊びふけっていたずおん。
本文,春になればし、雪こ溶け、ふろいふろい雪の原のあちこちゆ、ふろ野の黄はだの色の芝生こさ青い新芽の萌えいで来るはで、おらの国のわらわ、黄はだの色の古し芝生こさ火をつけ、そればさ野火と申して遊ぶのだおん。
本文,そした案配こ、おたがい野火をし距て、わらわ、ふた組にわかれていたずおん。
本文,かたかたの五六人、声をしそろえて歌ったずおん。
本文,――雀、雀、雀こ、欲うし。
本文,ほかの方図のわらわ、それさ応え、
本文,――どの雀、欲うし？
本文,て歌ったとせえ。
本文,そこでもってし、雀こ欲うして歌った方図のわらわ、打ち寄り、もめたずおん。
本文,――誰をし貰ればええべがな？
本文,――はにやすのヒサこと貰れば、どうだべ？
本文,――鼻たれて、きたなきも。
本文,――タキだば、ええねし。
本文,――女くされ、おかしじゃよ。
本文,――タキは、ええべせえ。
本文,――そうだべがな。
本文,そうした案配こ、とうとうタキこと貰るようにきまったずおん。
本文,――右りのはずれの雀こ欲うし。
本文,て、歌ったもんだずおん。
本文,タキの方図では、心根っこわるくかかったとせえ。
本文,――羽こ、ねえはで呉れらえね。
本文,――羽こ呉れるはで飛んで来い。
本文,こちで歌ったどもし、向うの方図で調子ばあわれに、また歌ったずおん。
本文,――杉の木、火事で行かえない。
本文,したどもし、こちの方図では、やたら欲しくて歌ったとせえ。
本文,――その火事よけて飛んで来い。
本文,向うの方図では、雀こ一羽はなしてよこしたずおん。
本文,タキは雀こ、ふたかたの腕こと翼みんたに拡げ、ぱお、ぱお、ぱお、て羽ばたきの音をし口でしゃべりしゃべりて、野火の焔よけて飛んで来たとせえ。
本文,これ、おらの国の、わらわの遊びごとだおん。
本文,こうして一羽一羽と雀こ貰るんだどもし、おしめに一羽のこれば、その雀こ、こんど歌わねばなんねのだおん。
本文,――雀、雀、雀こ欲うし。
本文,とっくと分別しねでもわかることだどもし、これや、うたて遊びごとだまさね。
本文,一ばん先に欲しがられた雀こ、大幅こけるどもし、おしめの一羽は泣いても泣いても足えへんでば。
本文,いつでもタキは、一ばん先に欲しがられるのだずおん。
本文,いつでもマロサマは、おしめにのこされるのだずおん。
本文,タキ、よろずよやの一人あねこで、うって勢よく育ったのだずおん。
本文,誰にかても負けたことねんだとせえ。
本文,冬、どした恐ろしない雪の日でも、くるめんば被らねで、千成の林檎こよりも赤え頬ぺたこ吹きさらし、どこさでも行けたのだずおん。
本文,マロサマ、たかまどのお寺の坊主こで、からだつきこ細くてかそぺないはでし、みんなみんな、やしめていたのだずおん。
本文,さきほどよりし、マロサマ、着物ばはだけて、歌っていたずおん。
本文,――雀、雀、雀こ欲うし。
本文,雀、雀、雀こ欲うし。
本文,不憫げらに、これで二度も、売えのこりになっていたのだずおん。
本文,――どの雀、欲うし？
本文,――なかの雀こ欲うし。
本文,タキこと欲しがるのだずおん。
本文,なかの雀このタキ、野火の黄色え黄色え焔ごしに、悪だまなくこでマロサマば睨めたずおん。
本文,マロサマ、おっとらとした声こで、また歌ったずおん。
本文,――なかの雀こ欲うし。
本文,タキは、わらわさ、なにやらし、こちょこちょと言うつけたずおん。
