type,text
本文,「どうして先生は、ぼくを信じてはくれないの？ぼくにとって、先生以外の女性なんていないってこと、先生がいちばんよく知っているはずじゃありませんか。
本文,いまのぼくに、暇をつくるのがゆるされないことだって、先生ならよくご存知のはずだ。
本文,それを、……いやだ、ぼくは先生を愛している」
本文,彼女は、はじめて顔をあげた。
本文,青年は大げさにその膝にとりすがった。
本文,「もしぼくに身体が二つあったら、いつでもぼくは先生といっしょにいられるのに。
本文,先生、ぼくはいつもそんなことばかり思っているんだ。
本文,ひまさえあれば、いつだってぼくは先生のところに駈けつけます。
本文,ぼくはそんな気持ちなんだ。
本文,だから先生、先生だけはぼくのことを信じていて。
本文,ね？ぼく、ぜったいに先生とは別れない」
本文,「……ごめんなさい」と、彼女はいった。
本文,ふと、青年はあることを思いついた。
本文,「先生。
本文,……先生は、ぼくのために、わざとぼくと別れようと考えたの？ぼくを怒らせ、ぼくを先生からはなれさせるために、こんなことを思いついたの？」
本文,「そんなんじゃないわ。
本文,坊や。
本文,それはあなたの誤解よ」
本文,しずかに、彼女はいった。
本文,「坊や、ゆるしてね。
本文,私が悪かったわ」
本文,彼女はコニャックを喉に流しこもうとした。
本文,その掌を青年がおさえた。
本文,「ダメだよ、そんなに飲んでばっかりいちゃ。
本文,喉に悪いのはわかりきっているじゃありませんか。
本文,なぜそう自分を大切にしないの？」
本文,「ありがとう」
本文,素直に、彼女はグラスをテーブルに戻した。
本文,青年は、その目が充血し、涙でいっぱいになっているのを見た。
本文,「坊や、あなたは、私とはもう二度と逢いたくないと思っているんでしょう？」
本文,「そんなこと、……」
本文,青年は唇をとがらせた。
本文,しかし俳優ではない彼の演技は、すこし拙劣すぎてもいた。
本文,「私ね、今日、あなたに来てもらったのはね」と彼女はいった。
本文,「ほんとうに、ほんとうにもう一度だけ、あなたに愛してもらいたかったからなの。
本文,……お願い」
本文,彼女はすすり泣いた。
本文,その声は次第に上ずり、青年は当惑をかくすためにその肩を抱いた。
本文,彼女はいいつづけた。
本文,「嘘じゃないの。
本文,私、本心からそう思っている。
本文,私、なんでもあなたの望んでいるとおりにしてあげたい。
本文,たぶん、あなたは、できることならもう二度と私には逢いたくないって思っている。
本文,いいの。
本文,私もそうする。
本文,約束するわ。
本文,だから、お願い、もう一度だけ愛して。
